**Planet model v40 by Leslie Rogers**

100		#Radius precision (m)
10		#Step size (m)
0.3		#FeMFrac
0.7		#silicateMFrac
0		#H2OMFrac

logPext(Pa): 	1	2	3	4	5	6	7	8	9	10	11
Mcore(Mearth)	Rcore(Rearth)

0.1	4.723534e-01	4.723534e-01	4.723534e-01	4.723534e-01	4.723534e-01	4.723534e-01	4.723434e-01	4.722939e-01	4.718178e-01	4.673347e-01	4.393456e-01
0.2	5.897850e-01	5.897850e-01	5.897850e-01	5.897850e-01	5.897850e-01	5.897850e-01	5.897850e-01	5.897255e-01	5.891701e-01	5.839531e-01	5.505882e-01
0.3	6.704597e-01	6.704597e-01	6.704597e-01	6.704597e-01	6.704597e-01	6.704597e-01	6.704498e-01	6.703903e-01	6.697853e-01	6.641617e-01	6.275337e-01
0.4	7.336090e-01	7.336090e-01	7.336090e-01	7.336090e-01	7.336090e-01	7.336090e-01	7.336090e-01	7.335396e-01	7.329147e-01	7.270035e-01	6.880943e-01
0.5	7.861954e-01	7.861954e-01	7.861954e-01	7.861954e-01	7.861954e-01	7.861954e-01	7.861855e-01	7.861160e-01	7.854713e-01	7.793518e-01	7.387169e-01
0.6	8.315811e-01	8.315811e-01	8.315811e-01	8.315811e-01	8.315811e-01	8.315811e-01	8.315712e-01	8.315018e-01	8.308372e-01	8.245689e-01	7.825653e-01
0.7	8.717003e-01	8.717003e-01	8.717003e-01	8.717003e-01	8.717003e-01	8.717003e-01	8.717003e-01	8.716309e-01	8.709564e-01	8.645592e-01	8.214447e-01
0.8	9.077927e-01	9.077927e-01	9.077927e-01	9.077927e-01	9.077927e-01	9.077927e-01	9.077827e-01	9.077133e-01	9.070290e-01	9.005424e-01	8.565056e-01
0.9	9.406616e-01	9.406616e-01	9.406616e-01	9.406616e-01	9.406616e-01	9.406616e-01	9.406517e-01	9.405823e-01	9.398880e-01	9.333321e-01	8.885117e-01
1	9.709023e-01	9.709023e-01	9.709023e-01	9.709023e-01	9.709023e-01	9.709023e-01	9.708923e-01	9.708229e-01	9.701286e-01	9.635033e-01	9.180283e-01
1.1	9.989510e-01	9.989510e-01	9.989510e-01	9.989510e-01	9.989510e-01	9.989510e-01	9.989410e-01	9.988716e-01	9.981674e-01	9.914925e-01	9.454620e-01
1.2	1.025146e+00	1.025146e+00	1.025146e+00	1.025146e+00	1.025146e+00	1.025131e+00	1.025131e+00	1.025055e+00	1.024353e+00	1.017639e+00	9.711105e-01
1.3	1.049713e+00	1.049713e+00	1.049713e+00	1.049713e+00	1.049713e+00	1.049713e+00	1.049713e+00	1.049637e+00	1.048935e+00	1.042175e+00	9.952217e-01
1.4	1.072891e+00	1.072891e+00	1.072891e+00	1.072891e+00	1.072891e+00	1.072891e+00	1.072891e+00	1.072815e+00	1.072098e+00	1.065323e+00	1.018005e+00
1.5	1.094833e+00	1.094833e+00	1.094833e+00	1.094833e+00	1.094833e+00	1.094833e+00	1.094833e+00	1.094757e+00	1.094040e+00	1.087250e+00	1.039597e+00
1.6	1.115692e+00	1.115692e+00	1.115692e+00	1.115692e+00	1.115692e+00	1.115692e+00	1.115677e+00	1.115616e+00	1.114899e+00	1.108078e+00	1.060150e+00
1.7	1.135559e+00	1.135559e+00	1.135559e+00	1.135559e+00	1.135559e+00	1.135559e+00	1.135544e+00	1.135483e+00	1.134766e+00	1.127930e+00	1.079742e+00
1.8	1.154541e+00	1.154541e+00	1.154541e+00	1.154541e+00	1.154541e+00	1.154541e+00	1.154541e+00	1.154465e+00	1.153748e+00	1.146912e+00	1.098495e+00
1.9	1.172729e+00	1.172729e+00	1.172729e+00	1.172729e+00	1.172729e+00	1.172729e+00	1.172714e+00	1.172653e+00	1.171936e+00	1.165085e+00	1.116486e+00
2	1.190186e+00	1.190186e+00	1.190186e+00	1.190186e+00	1.190186e+00	1.190186e+00	1.190170e+00	1.190109e+00	1.189392e+00	1.182526e+00	1.133774e+00
2.1	1.206970e+00	1.206970e+00	1.206970e+00	1.206970e+00	1.206970e+00	1.206970e+00	1.206970e+00	1.206894e+00	1.206177e+00	1.199326e+00	1.150406e+00
2.2	1.223145e+00	1.223145e+00	1.223145e+00	1.223145e+00	1.223145e+00	1.223145e+00	1.223145e+00	1.223068e+00	1.222351e+00	1.215500e+00	1.166443e+00
2.3	1.238754e+00	1.238754e+00	1.238754e+00	1.238754e+00	1.238754e+00	1.238754e+00	1.238739e+00	1.238678e+00	1.237961e+00	1.231110e+00	1.181946e+00
2.4	1.253845e+00	1.253845e+00	1.253845e+00	1.253845e+00	1.253845e+00	1.253845e+00	1.253830e+00	1.253754e+00	1.253036e+00	1.246185e+00	1.196930e+00
2.5	1.268433e+00	1.268433e+00	1.268433e+00	1.268433e+00	1.268433e+00	1.268433e+00	1.268433e+00	1.268356e+00	1.267639e+00	1.260788e+00	1.211456e+00
2.6	1.282578e+00	1.282578e+00	1.282578e+00	1.282578e+00	1.282578e+00	1.282578e+00	1.282578e+00	1.282501e+00	1.281784e+00	1.274933e+00	1.225525e+00
2.7	1.296295e+00	1.296295e+00	1.296295e+00	1.296295e+00	1.296295e+00	1.296295e+00	1.296295e+00	1.296219e+00	1.295502e+00	1.288666e+00	1.239197e+00
2.8	1.309616e+00	1.309616e+00	1.309616e+00	1.309616e+00	1.309616e+00	1.309616e+00	1.309616e+00	1.309540e+00	1.308823e+00	1.302002e+00	1.252472e+00
2.9	1.322571e+00	1.322571e+00	1.322571e+00	1.322571e+00	1.322571e+00	1.322571e+00	1.322556e+00	1.322495e+00	1.321777e+00	1.314957e+00	1.265396e+00
3	1.335159e+00	1.335159e+00	1.335159e+00	1.335159e+00	1.335159e+00	1.335159e+00	1.335159e+00	1.335083e+00	1.334381e+00	1.327560e+00	1.277969e+00
3.1	1.347427e+00	1.347427e+00	1.347427e+00	1.347427e+00	1.347427e+00	1.347427e+00	1.347427e+00	1.347351e+00	1.346649e+00	1.339844e+00	1.290222e+00
3.2	1.359390e+00	1.359390e+00	1.359390e+00	1.359390e+00	1.359390e+00	1.359390e+00	1.359375e+00	1.359314e+00	1.358597e+00	1.351807e+00	1.302170e+00
3.3	1.371048e+00	1.371048e+00	1.371048e+00	1.371048e+00	1.371048e+00	1.371048e+00	1.371033e+00	1.370972e+00	1.370255e+00	1.363480e+00	1.313828e+00
3.4	1.382431e+00	1.382431e+00	1.382431e+00	1.382431e+00	1.382431e+00	1.382431e+00	1.382416e+00	1.382339e+00	1.381638e+00	1.374863e+00	1.325211e+00
3.5	1.393539e+00	1.393539e+00	1.393539e+00	1.393539e+00	1.393539e+00	1.393539e+00	1.393524e+00	1.393463e+00	1.392761e+00	1.385986e+00	1.336334e+00
3.6	1.404404e+00	1.404404e+00	1.404404e+00	1.404404e+00	1.404404e+00	1.404404e+00	1.404388e+00	1.404327e+00	1.403610e+00	1.396866e+00	1.347214e+00
3.7	1.415024e+00	1.415024e+00	1.415024e+00	1.415024e+00	1.415024e+00	1.415024e+00	1.415009e+00	1.414948e+00	1.414230e+00	1.407501e+00	1.357864e+00
3.8	1.425415e+00	1.425415e+00	1.425415e+00	1.425415e+00	1.425415e+00	1.425415e+00	1.425400e+00	1.425323e+00	1.424622e+00	1.417908e+00	1.368286e+00
3.9	1.435577e+00	1.435577e+00	1.435577e+00	1.435577e+00	1.435577e+00	1.435577e+00	1.435577e+00	1.435501e+00	1.434799e+00	1.428085e+00	1.378479e+00
4	1.445541e+00	1.445541e+00	1.445541e+00	1.445541e+00	1.445541e+00	1.445541e+00	1.445541e+00	1.445465e+00	1.444763e+00	1.438065e+00	1.388489e+00
4.1	1.455307e+00	1.455307e+00	1.455307e+00	1.455307e+00	1.455307e+00	1.455307e+00	1.455292e+00	1.455231e+00	1.454529e+00	1.447845e+00	1.398285e+00
4.2	1.464874e+00	1.464874e+00	1.464874e+00	1.464874e+00	1.464874e+00	1.464874e+00	1.464859e+00	1.464798e+00	1.464096e+00	1.457428e+00	1.407898e+00
4.3	1.474258e+00	1.474258e+00	1.474258e+00	1.474258e+00	1.474258e+00	1.474258e+00	1.474258e+00	1.474182e+00	1.473480e+00	1.466827e+00	1.417328e+00
4.4	1.483475e+00	1.483475e+00	1.483475e+00	1.483475e+00	1.483475e+00	1.483475e+00	1.483459e+00	1.483398e+00	1.482697e+00	1.476044e+00	1.426590e+00
4.5	1.492508e+00	1.492508e+00	1.492508e+00	1.492508e+00	1.492508e+00	1.492508e+00	1.492508e+00	1.492432e+00	1.491745e+00	1.485107e+00	1.435684e+00
4.6	1.501389e+00	1.501389e+00	1.501389e+00	1.501389e+00	1.501389e+00	1.501389e+00	1.501373e+00	1.501312e+00	1.500626e+00	1.494003e+00	1.444626e+00
4.7	1.510101e+00	1.510101e+00	1.510101e+00	1.510101e+00	1.510101e+00	1.510101e+00	1.510101e+00	1.510025e+00	1.509338e+00	1.502731e+00	1.453400e+00
4.8	1.518677e+00	1.518677e+00	1.518677e+00	1.518677e+00	1.518677e+00	1.518677e+00	1.518677e+00	1.518600e+00	1.517914e+00	1.511322e+00	1.462036e+00
4.9	1.527100e+00	1.527100e+00	1.527100e+00	1.527100e+00	1.527100e+00	1.527100e+00	1.527100e+00	1.527023e+00	1.526337e+00	1.519760e+00	1.470520e+00
5	1.535385e+00	1.535385e+00	1.535385e+00	1.535385e+00	1.535385e+00	1.535385e+00	1.535385e+00	1.535309e+00	1.534622e+00	1.528061e+00	1.478867e+00
5.1	1.543533e+00	1.543533e+00	1.543533e+00	1.543533e+00	1.543533e+00	1.543533e+00	1.543533e+00	1.543457e+00	1.542786e+00	1.536224e+00	1.487076e+00
5.2	1.551559e+00	1.551559e+00	1.551559e+00	1.551559e+00	1.551559e+00	1.551559e+00	1.551544e+00	1.551483e+00	1.550797e+00	1.544266e+00	1.495163e+00
5.3	1.559448e+00	1.559448e+00	1.559448e+00	1.559448e+00	1.559448e+00	1.559448e+00	1.559433e+00	1.559372e+00	1.558685e+00	1.552170e+00	1.503128e+00
5.4	1.567215e+00	1.567215e+00	1.567215e+00	1.567215e+00	1.567215e+00	1.567215e+00	1.567215e+00	1.567139e+00	1.566467e+00	1.559952e+00	1.510971e+00
5.5	1.574875e+00	1.574875e+00	1.574875e+00	1.574875e+00	1.574875e+00	1.574875e+00	1.574860e+00	1.574799e+00	1.574112e+00	1.567627e+00	1.518692e+00
5.6	1.582413e+00	1.582413e+00	1.582413e+00	1.582413e+00	1.582413e+00	1.582413e+00	1.582397e+00	1.582336e+00	1.581650e+00	1.575180e+00	1.526306e+00
5.7	1.589828e+00	1.589828e+00	1.589828e+00	1.589828e+00	1.589828e+00	1.589828e+00	1.589828e+00	1.589752e+00	1.589081e+00	1.582611e+00	1.533798e+00
5.8	1.597153e+00	1.597153e+00	1.597153e+00	1.597153e+00	1.597153e+00	1.597153e+00	1.597137e+00	1.597076e+00	1.596405e+00	1.589951e+00	1.541199e+00
5.9	1.604370e+00	1.604370e+00	1.604370e+00	1.604370e+00	1.604370e+00	1.604370e+00	1.604355e+00	1.604294e+00	1.603622e+00	1.597183e+00	1.548492e+00
6	1.611481e+00	1.611481e+00	1.611481e+00	1.611481e+00	1.611481e+00	1.611481e+00	1.611481e+00	1.611404e+00	1.610733e+00	1.604309e+00	1.555679e+00
6.1	1.618500e+00	1.618500e+00	1.618500e+00	1.618500e+00	1.618500e+00	1.618500e+00	1.618484e+00	1.618423e+00	1.617752e+00	1.611343e+00	1.562775e+00
6.2	1.625412e+00	1.625412e+00	1.625412e+00	1.625412e+00	1.625412e+00	1.625412e+00	1.625412e+00	1.625351e+00	1.624680e+00	1.618286e+00	1.569778e+00
6.3	1.632248e+00	1.632248e+00	1.632248e+00	1.632248e+00	1.632248e+00	1.632248e+00	1.632233e+00	1.632172e+00	1.631516e+00	1.625122e+00	1.576675e+00
6.4	1.638992e+00	1.638992e+00	1.638992e+00	1.638992e+00	1.638992e+00	1.638977e+00	1.638977e+00	1.638916e+00	1.638245e+00	1.631882e+00	1.583496e+00
6.5	1.645630e+00	1.645630e+00	1.645630e+00	1.645630e+00	1.645630e+00	1.645630e+00	1.645630e+00	1.645569e+00	1.644897e+00	1.638550e+00	1.590225e+00
6.6	1.652206e+00	1.652206e+00	1.652206e+00	1.652206e+00	1.652206e+00	1.652206e+00	1.652191e+00	1.652130e+00	1.651474e+00	1.645126e+00	1.596878e+00
6.7	1.658691e+00	1.658691e+00	1.658691e+00	1.658691e+00	1.658691e+00	1.658691e+00	1.658676e+00	1.658615e+00	1.657959e+00	1.651627e+00	1.603439e+00
6.8	1.665085e+00	1.665085e+00	1.665085e+00	1.665085e+00	1.665085e+00	1.665085e+00	1.665085e+00	1.665009e+00	1.664352e+00	1.658051e+00	1.609924e+00
6.9	1.671417e+00	1.671417e+00	1.671417e+00	1.671417e+00	1.671417e+00	1.671417e+00	1.671402e+00	1.671341e+00	1.670685e+00	1.664383e+00	1.616333e+00
7	1.677658e+00	1.677658e+00	1.677658e+00	1.677658e+00	1.677658e+00	1.677658e+00	1.677643e+00	1.677582e+00	1.676926e+00	1.670639e+00	1.622665e+00
7.1	1.683823e+00	1.683823e+00	1.683823e+00	1.683823e+00	1.683823e+00	1.683823e+00	1.683823e+00	1.683762e+00	1.683105e+00	1.676834e+00	1.628922e+00
7.2	1.689926e+00	1.689926e+00	1.689926e+00	1.689926e+00	1.689926e+00	1.689926e+00	1.689926e+00	1.689850e+00	1.689209e+00	1.682953e+00	1.635101e+00
7.3	1.695953e+00	1.695953e+00	1.695953e+00	1.695953e+00	1.695953e+00	1.695953e+00	1.695953e+00	1.695892e+00	1.695236e+00	1.688995e+00	1.641220e+00
7.4	1.701920e+00	1.701920e+00	1.701920e+00	1.701920e+00	1.701920e+00	1.701920e+00	1.701904e+00	1.701843e+00	1.701202e+00	1.694962e+00	1.647263e+00
7.5	1.707809e+00	1.707809e+00	1.707809e+00	1.707809e+00	1.707809e+00	1.707809e+00	1.707809e+00	1.707733e+00	1.707092e+00	1.700882e+00	1.653229e+00
7.6	1.713638e+00	1.713638e+00	1.713638e+00	1.713638e+00	1.713638e+00	1.713638e+00	1.713623e+00	1.713562e+00	1.712921e+00	1.706711e+00	1.659149e+00
7.7	1.719391e+00	1.719391e+00	1.719391e+00	1.719391e+00	1.719391e+00	1.719391e+00	1.719391e+00	1.719330e+00	1.718689e+00	1.712494e+00	1.664993e+00
7.8	1.725098e+00	1.725098e+00	1.725098e+00	1.725098e+00	1.725098e+00	1.725098e+00	1.725082e+00	1.725021e+00	1.724380e+00	1.718201e+00	1.670776e+00
7.9	1.730728e+00	1.730728e+00	1.730728e+00	1.730728e+00	1.730728e+00	1.730728e+00	1.730728e+00	1.730667e+00	1.730026e+00	1.723862e+00	1.676498e+00
8	1.736313e+00	1.736313e+00	1.736313e+00	1.736313e+00	1.736313e+00	1.736313e+00	1.736298e+00	1.736237e+00	1.735596e+00	1.729446e+00	1.682159e+00
8.1	1.741821e+00	1.741821e+00	1.741821e+00	1.741821e+00	1.741821e+00	1.741821e+00	1.741821e+00	1.741760e+00	1.741119e+00	1.734985e+00	1.687759e+00
8.2	1.747284e+00	1.747284e+00	1.747284e+00	1.747284e+00	1.747284e+00	1.747284e+00	1.747284e+00	1.747223e+00	1.746582e+00	1.740463e+00	1.693298e+00
8.3	1.752686e+00	1.752686e+00	1.752686e+00	1.752686e+00	1.752686e+00	1.752686e+00	1.752686e+00	1.752625e+00	1.751984e+00	1.745880e+00	1.698792e+00
8.4	1.758041e+00	1.758041e+00	1.758041e+00	1.758041e+00	1.758041e+00	1.758041e+00	1.758026e+00	1.757965e+00	1.757339e+00	1.751236e+00	1.704224e+00
8.5	1.763336e+00	1.763336e+00	1.763336e+00	1.763336e+00	1.763336e+00	1.763336e+00	1.763321e+00	1.763260e+00	1.762634e+00	1.756546e+00	1.709610e+00
8.6	1.768585e+00	1.768585e+00	1.768585e+00	1.768585e+00	1.768570e+00	1.768570e+00	1.768570e+00	1.768509e+00	1.767883e+00	1.761810e+00	1.714935e+00
8.7	1.773773e+00	1.773773e+00	1.773773e+00	1.773773e+00	1.773773e+00	1.773773e+00	1.773758e+00	1.773697e+00	1.773071e+00	1.767014e+00	1.720215e+00
8.8	1.778915e+00	1.778915e+00	1.778915e+00	1.778915e+00	1.778915e+00	1.778900e+00	1.778900e+00	1.778839e+00	1.778214e+00	1.772171e+00	1.725433e+00
