                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6596      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6 
                    log_star_age                           radius                        star_mass                       luminosity                   center_entropy                  Bolometric_Flux 
         2.3949078571670340E-001          1.7025266093270414E-001          5.1513086668007243E-005          1.2153419273224785E-005          8.2752274134620070E+000          1.6101753983582523E+007 
         6.2688061205543288E-001          1.5339889733044704E-001          5.1513086668007243E-005          2.8858681998895397E-006          8.2752512469492423E+000          1.3071632989159441E+007 
         7.6603682077858082E-001          1.4874597193150016E-001          5.1513086668007243E-005          1.9112862578632319E-006          8.2752492739758630E+000          1.2290676777757103E+007 
         8.4143443593775324E-001          1.4657040112203307E-001          5.1513086668007243E-005          1.5534041752841904E-006          8.2752573237103242E+000          1.1933777130148137E+007 
         9.0934735587638749E-001          1.4477657919863982E-001          5.1513086668007243E-005          1.2977118273082392E-006          8.2752653734526138E+000          1.1643458290914658E+007 
         9.7835658138083637E-001          1.4304113434696625E-001          5.1513086668007243E-005          1.0888336633478096E-006          8.2752573237103242E+000          1.1365989778202906E+007 
         1.0481418096767747E+000          1.4130569018311254E-001          5.1513086668007243E-005          9.2041212533693642E-007          8.2752573237103242E+000          1.1091867458715057E+007 
         1.1177563654581348E+000          1.3957764395462557E-001          5.1513086668007243E-005          7.8732640571342401E-007          8.2752573237103242E+000          1.0822238398344686E+007 
         1.1868514617289547E+000          1.3788183572663357E-001          5.1513086668007243E-005          6.8073197168479568E-007          8.2752761064545144E+000          1.0560864824755700E+007 
         1.2553169164100184E+000          1.3624104192405062E-001          5.1513086668007243E-005          5.9298390966461122E-007          8.2752650577763056E+000          1.0311011772437014E+007 
         1.3234577583161693E+000          1.3466448577502341E-001          5.1513086668007243E-005          5.1913613301088313E-007          8.2752905486775905E+000          1.0073758244232245E+007 
         1.3934603478209955E+000          1.3312233877306059E-001          5.1513086668007243E-005          4.5408423381209856E-007          8.2752888913720195E+000          9.8443545806176588E+006 
         1.4643777188200429E+000          1.3165640866268932E-001          5.1513086668007243E-005          3.9665070097285137E-007          8.2752808416068806E+000          9.6287381964003742E+006 
         1.5358637993317019E+000          1.3029093400902916E-001          5.1513086668007243E-005          3.4467669437681469E-007          8.2752888913720195E+000          9.4300449936465453E+006 
         1.6080850902304409E+000          1.2902871941049884E-001          5.1513086668007243E-005          2.9772390413572350E-007          8.2752982827746262E+000          9.2482198240052275E+006 
         1.6815094349735287E+000          1.2785704613017193E-001          5.1513086668007243E-005          2.5516150395220423E-007          8.2753076741878893E+000          9.0810214936912023E+006 
         1.7562538695055001E+000          1.2676663152066117E-001          5.1513086668007243E-005          2.1695661449832931E-007          8.2753204591541358E+000          8.9267890220933538E+006 
         1.8324854575896465E+000          1.2575083340423304E-001          5.1513086668007243E-005          1.8303891532376274E-007          8.2753204591541358E+000          8.7842990852411855E+006 
         1.9104338822483036E+000          1.2479738075114463E-001          5.1513086668007243E-005          1.5333370356039834E-007          8.2753392420416301E+000          8.6515975909723043E+006 
         1.9901350893025620E+000          1.2389536627142568E-001          5.1513086668007243E-005          1.2792591253677195E-007          8.2753456345466674E+000          8.5269849791310150E+006 
